/net/tscratch/people/plgmpniak/miniconda3/envs/dimred_env/lib/python3.10/site-packages/pacmap/__init__.py:3: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
/net/tscratch/people/plgmpniak/miniconda3/envs/dimred_env/lib/python3.10/site-packages/pacmap/pacmap.py:828: UserWarning: Warning: random state is set to 42
  warnings.warn(f'Warning: random state is set to {_RANDOM_STATE}')
X is normalized
PaCMAP(n_neighbors=10, n_MN=13, n_FP=9, distance=euclidean, lr=1.0, n_iters=450, apply_pca=True, opt_method='adam', verbose=True, intermediate=False, seed=42)
Finding pairs
Found nearest neighbor
Calculated sigma
Found scaled dist
Pairs sampled successfully.
((15051410, 2), (19566833, 2), (13546269, 2))
Initial Loss: 11228905.0
Iteration:   10, Loss: 12023584.000000
Iteration:   20, Loss: 10637676.000000
Iteration:   30, Loss: 10096936.000000
Iteration:   40, Loss: 9591072.000000
Iteration:   50, Loss: 9036355.000000
Iteration:   60, Loss: 8486083.000000
Iteration:   70, Loss: 7872976.000000
Iteration:   80, Loss: 7151425.500000
Iteration:   90, Loss: 6256404.000000
Iteration:  100, Loss: 4705392.500000
Iteration:  110, Loss: 5093441.000000
Iteration:  120, Loss: 5069365.000000
Iteration:  130, Loss: 5025559.000000
Iteration:  140, Loss: 4997510.500000
Iteration:  150, Loss: 4987207.000000
Iteration:  160, Loss: 4982034.000000
Iteration:  170, Loss: 4978718.500000
Iteration:  180, Loss: 4976762.500000
Iteration:  190, Loss: 4975773.000000
Iteration:  200, Loss: 4974938.500000
Iteration:  210, Loss: 2244502.750000
Iteration:  220, Loss: 2170976.500000
Iteration:  230, Loss: 2142598.750000
Iteration:  240, Loss: 2132363.500000
Iteration:  250, Loss: 2127636.250000
Iteration:  260, Loss: 2124917.000000
Iteration:  270, Loss: 2123248.500000
Iteration:  280, Loss: 2122207.000000
Iteration:  290, Loss: 2121517.750000
Iteration:  300, Loss: 2121093.250000
Iteration:  310, Loss: 2120776.250000
Iteration:  320, Loss: 2120517.750000
Iteration:  330, Loss: 2120350.750000
Iteration:  340, Loss: 2120205.250000
Iteration:  350, Loss: 2120100.250000
Iteration:  360, Loss: 2120014.250000
Iteration:  370, Loss: 2119972.750000
Iteration:  380, Loss: 2119938.250000
Iteration:  390, Loss: 2119900.000000
Iteration:  400, Loss: 2119910.500000
Iteration:  410, Loss: 2119914.000000
Iteration:  420, Loss: 2119926.000000
Iteration:  430, Loss: 2119944.500000
Iteration:  440, Loss: 2119939.250000
Iteration:  450, Loss: 2119938.500000
Elapsed time: 1229.16s
Plots were generated and saved in: /net/tscratch/people/plgmpniak/LSC_dim_reduction/LSC_Dimensionality_Reduction/results/pacmap_cpu/pca_non_normalized
✅ PaCMAP CPU results saved in: /net/tscratch/people/plgmpniak/LSC_dim_reduction/LSC_Dimensionality_Reduction/results/pacmap_cpu/pca_non_normalized
